address,maxClaimable,price,currencyAddress
0x442C463eb4778C1a576d5b80927B429756723014,1,,
0x293F2BB46d15d6a496300a03E68EbA21e17A0213,1,,
0xaD3BBb80d389a350e42FC6df2893753EFC2109F1,1,,
0x980Cd99311f3b3264f5dfdCE33D204A8d6d492E4,1,,
0xa70b06a77d6a0A846a8c85D603049aB609757EF4,1,,
0x5bc798157563Db990CEeCD33E8b7c9f4E87923e0,1,,
0x61Bf464cA0111a31A8453077021324D848d261F4,1,,
0xba8310f86fFDd68b36D61260Ab8035a4C39bF683,1,,
0x0F17863f2D13Fbe637215fd3cc1cef2D416422Dc,1,,
0x57266c637b716808aB1484528BeA42969d60B56C,1,,
0x6AaAb3C5E1015B156e7C5Ca20f77514c0Db40E4d,1,,
0xC112B45bdDE513D9ac873A3f25d9A470De63a34a,1,,
0xd4E022f6d193791DB05E62AC23bA7bC132B08199,1,,
0x6555acd8a03d0B1CCB57D6FD8ab60414540812b7,1,,
0x26cD3b3f82Cf9980ebE3Ca57f60b4416e091C360,1,,
0xCa04CC815774f018d29065b74c276fdFb679634D,1,,
0xa272bc9d6f462F4f08849AdeAF6E49A5D4430C38,1,,
0x96Ba39383dc3BccCE45D8286163DF993d1F5C544,1,,
0x02ae4b6b905021f1CBB272b5A8C03A25afAb65B6,1,,
0xfeF0B184Be13FaB07b61A91Aa7113BC0d6441655,1,,
0x8AB28f456253Ab9eA3CB592e846109c7c7A5Db83,1,,
0x7E7FAf61594f7D9b30FF07B4A1D47bBa2D388B9E,1,,
0x5cbEEB487a6F7a65E480a38fff7b4537a8D1C874,1,,
0xCd58A694b7090F0aa663c45aeeAcADb7023665aB,1,,
0x3F3484669b510182caa3F709a53d9a61d0779665,1,,
0xE51f0abDcadaEB97F409A2a7f2C1baFf8B4fdfB6,1,,
0x47E80561F8d0610f521baaFaa722f15bdf2cd73c,1,,
0x9b987F2C603d08659D56804c5b27ae4114A671dC,1,,
0xe67CCFFAC6B48918CEB13F0aFD17C4D9f1EaD184,1,,
0xd10d3381C1e824143D22350e9149413310F14F22,1,,
0x8C052651072407067aA37aC69EE91cFf578875A1,1,,
0xD65e2323A5405035AA75Af1C70e6a36b4A47480c,1,,
0x308eA0cd246A55647004Ac209462BC3515c70bDa,1,,
0x8fc3d562dD541bfE4c6C0c3A8EF483D8e24b3713,1,,
0x1d6DCAA5525DfC2075f3ca2fB79a0c9B4834b10A,1,,
0xFd64f632c7b7954836A19c5C06E65B39A1876B68,1,,
0xE5889daD45A8e66d5cfeF5572E7BEc91E72a22db,1,,
0x463dFcbF3b88F3330646648e185475F98235c74F,1,,
0xff6A3DDF7b726F11F0b4e43D0b700fea8C81888c,1,,
0x3516006709B775e01B48dfB5FAd355a4E793E347,1,,
0x3A7267635C171d7A8Fb326D57F0fF9D8e79820B8,1,,
0x7fd6B35Fbf80b77Be52b572c03B6C7eF567781d0,1,,
0x0F09Ced0A79B606DF50d729D877C8aaF242296B1,1,,
0x542c187EeBeC727C07538571B37D3AeE49a9b7F9,1,,
0x65cC65ef988865233e836dC3bB4E05B69DA5A2F4,1,,
0x56ec0e23C857b757f9377F4EF30b7f73977Ec46D,1,,
0x6E37EcE690cEF4366773E659F96774Cb881E930d,1,,
0xef4400Dc97c78eEb0511326c8E3Cdf7c0764EB97,1,,
0x52c19Dd332a2317882ea762B6Df00166A9ea3b99,1,,
0xCf65277dEA11E8EDcf82519ab84FB56ef04bE586,1,,
0xd3f73959C64A038Ecb3023C2808b794cc9d1fc21,1,,
0x816fb4374cB8dd29D565F6a65086c7988BfD1152,1,,
0x100DD779aEd31DF2BA1b7cF5c775414464A4309c,1,,
0xe21385472347E59C69b0D534e69ccc41780d1a7D,1,,
0x1572906a30b29E6A26Ac1D2D1C172e56c10f1640,1,,
0x5949aB4885038999b3516C1A12c2825A6f15f29D,1,,
0x751373360c24FF566Dd63bA0B364ea65A9BBF51b,1,,
0x9d9838d4c18b1E00d507C48cc3203997631FE860,1,,
0x9DfA4Eab892BEf75229d5f6bc641b9b1D1AB3965,1,,
0xf1d4DB60a3a83A7E92f905b8862717B878328CAE,1,,
0xc1bBc69f2867cEB2F8813fFC056DBB0Bd63c2320,1,,
0xF71Fa5918db043048b25CCaF1603fDdA7c84080b,1,,
0xc151fe0D8dD6B852D75E29E18F4791b2f806F2A6,1,,
